Skill
Java
Python
SQL
MySQL
MongoDB
HTML
CSS
JavaScript
React
Node.js
Express.js
Git
GitHub
Linux
Docker
Kubernetes
AWS
Machine Learning
Pandas
NumPy
Scikit-learn
Power BI
Tableau
